User_1,"['category_3', 'category_7', 'category_15', 'category_28', 'category_35', 'category_10', 'category_12', 'category_9', 'category_14', 'category_19']","Looking for someone to share sunsets and coffee talks with.",1
User_2,"['category_5', 'category_8', 'category_11', 'category_27', 'category_6', 'category_18', 'category_22', 'category_2', 'category_30', 'category_33']","Adventurer at heart, seeking a partner to explore the world.",0
User_3,"['category_4', 'category_13', 'category_32', 'category_1', 'category_16', 'category_20', 'category_29', 'category_25', 'category_7', 'category_23']","Book lover dreaming of a romantic journey.",1
User_4,"['category_9', 'category_14', 'category_21', 'category_40', 'category_2', 'category_18', 'category_24', 'category_26', 'category_8', 'category_35']","Passionate about music, searching for my dance partner.",0
User_5,"['category_11', 'category_6', 'category_36', 'category_34', 'category_10', 'category_31', 'category_5', 'category_19', 'category_23', 'category_16']","Culinary enthusiast looking for someone who loves good food.",1
User_6,"['category_12', 'category_30', 'category_7', 'category_13', 'category_24', 'category_37', 'category_1', 'category_40', 'category_28', 'category_9']","Dreamer with a love for poetry, seeking someone to write our story together.",0
User_7,"['category_3', 'category_8', 'category_19', 'category_21', 'category_25', 'category_33', 'category_4', 'category_18', 'category_5', 'category_20']","Lover of nature walks, let's explore the outdoors together.",0
User_8,"['category_26', 'category_10', 'category_22', 'category_14', 'category_35', 'category_29', 'category_6', 'category_30', 'category_17', 'category_11']","Fitness enthusiast looking for a workout buddy and life partner.",1
User_9,"['category_15', 'category_40', 'category_12', 'category_31', 'category_7', 'category_3', 'category_18', 'category_23', 'category_2', 'category_5']","Always smiling, seeking someone to laugh through life with.",0
User_10,"['category_19', 'category_36', 'category_8', 'category_11', 'category_28', 'category_4', 'category_9', 'category_14', 'category_1', 'category_30']","Romantic soul looking for meaningful conversations and shared dreams.",1
User_11,"['category_22', 'category_27', 'category_13', 'category_37', 'category_2', 'category_5', 'category_17', 'category_40', 'category_10', 'category_34']","Independent woman seeking an equal partner to grow with.",0
User_12,"['category_31', 'category_26', 'category_6', 'category_18', 'category_1', 'category_14', 'category_25', 'category_9', 'category_11', 'category_8']","Creative spirit in search of a like-minded dreamer.",0
User_13,"['category_7', 'category_29', 'category_36', 'category_19', 'category_24', 'category_3', 'category_13', 'category_35', 'category_20', 'category_2']","Animal lover hoping to find someone who shares my passion.",1
User_14,"['category_12', 'category_30', 'category_4', 'category_1', 'category_15', 'category_5', 'category_9', 'category_8', 'category_19', 'category_40']","Ambitious and kind, looking for someone to build a future with.",0
User_15,"['category_22', 'category_10', 'category_16', 'category_7', 'category_2', 'category_25', 'category_30', 'category_13', 'category_14', 'category_34']","Lover of art and culture, let's visit museums and galleries together.",1
User_16,"['category_3', 'category_11', 'category_40', 'category_18', 'category_8', 'category_9', 'category_4', 'category_35', 'category_27', 'category_28']","Gardening enthusiast, hoping to grow something beautiful together.",0
User_17,"['category_5', 'category_20', 'category_13', 'category_10', 'category_7', 'category_22', 'category_24', 'category_36', 'category_19', 'category_18']","Sunshine seeker who loves to bring positivity to those around her.",0
User_18,"['category_2', 'category_6', 'category_30', 'category_11', 'category_1', 'category_8', 'category_35', 'category_15', 'category_10', 'category_27']","Optimist with a love for the ocean, searching for a steady anchor.",0
User_19,"['category_12', 'category_19', 'category_23', 'category_7', 'category_31', 'category_22', 'category_14', 'category_36', 'category_6', 'category_20']","Adventure seeker ready to explore the world and make memories.",1
User_20,"['category_9', 'category_4', 'category_26', 'category_17', 'category_33', 'category_5', 'category_34', 'category_8', 'category_14', 'category_40']","Family-oriented and fun-loving, hoping to find my perfect match.",0
User_21,"['category_10', 'category_15', 'category_5', 'category_25', 'category_34', 'category_27', 'category_3', 'category_12', 'category_18', 'category_8']","Cheerful and spontaneous, looking for someone to make every moment magical.",1
User_22,"['category_7', 'category_30', 'category_20', 'category_14', 'category_35', 'category_29', 'category_36', 'category_40', 'category_9', 'category_2']","Ocean lover dreaming of sunsets and long walks on the beach.",0
User_23,"['category_1', 'category_18', 'category_26', 'category_5', 'category_3', 'category_21', 'category_33', 'category_17', 'category_28', 'category_11']","City girl at heart, looking for someone who loves urban adventures.",1
User_24,"['category_19', 'category_4', 'category_10', 'category_13', 'category_27', 'category_6', 'category_25', 'category_7', 'category_2', 'category_31']","Artistic soul, seeking someone to paint life’s canvas together.",0
User_25,"['category_22', 'category_14', 'category_20', 'category_40', 'category_9', 'category_32', 'category_5', 'category_30', 'category_16', 'category_12']","Lover of laughter, hoping to find someone who appreciates joy.",0
User_26,"['category_3', 'category_18', 'category_27', 'category_13', 'category_15', 'category_26', 'category_19', 'category_9', 'category_24', 'category_6']","Outdoor adventurer seeking a partner to hike and camp under the stars.",1
User_27,"['category_7', 'category_1', 'category_21', 'category_30', 'category_14', 'category_35', 'category_17', 'category_4', 'category_11', 'category_8']","Bookworm dreaming of writing the next chapter with someone special.",0
User_28,"['category_20', 'category_31', 'category_22', 'category_16', 'category_33', 'category_12', 'category_9', 'category_40', 'category_36', 'category_7']","Creative and curious, let’s discover life’s wonders together.",1
User_29,"['category_19', 'category_10', 'category_15', 'category_27', 'category_5', 'category_28', 'category_8', 'category_13', 'category_3', 'category_2']","Romantic at heart, searching for deep connections and shared dreams.",0
User_30,"['category_26', 'category_35', 'category_1', 'category_14', 'category_32', 'category_18', 'category_24', 'category_7', 'category_9', 'category_20']","Fitness lover seeking a partner for yoga and healthy adventures.",0
User_31,"['category_6', 'category_40', 'category_19', 'category_4', 'category_31', 'category_30', 'category_25', 'category_22', 'category_12', 'category_13']","Passionate baker, looking for someone to share sweet moments with.",1
User_32,"['category_15', 'category_27', 'category_17', 'category_8', 'category_5', 'category_10', 'category_9', 'category_7', 'category_21', 'category_29']","Nature lover who enjoys picnics, flowers, and sunshine.",0
User_33,"['category_20', 'category_11', 'category_19', 'category_16', 'category_26', 'category_18', 'category_3', 'category_40', 'category_30', 'category_14']","Hopeless romantic searching for my movie-worthy love story.",1
User_34,"['category_12', 'category_9', 'category_22', 'category_5', 'category_27', 'category_13', 'category_1', 'category_28', 'category_7', 'category_8']","Dog mom, hoping to find someone who loves animals as much as I do.",0
User_35,"['category_2', 'category_31', 'category_24', 'category_19', 'category_25', 'category_6', 'category_14', 'category_20', 'category_3', 'category_35']","Independent and adventurous, let’s travel the world together.",1
User_36,"['category_15', 'category_22', 'category_4', 'category_9', 'category_13', 'category_29', 'category_7', 'category_33', 'category_17', 'category_1']","Old soul, seeking meaningful conversations and timeless moments.",0
User_37,"['category_16', 'category_30', 'category_3', 'category_40', 'category_5', 'category_18', 'category_21', 'category_11', 'category_28', 'category_35']","Music lover, dreaming of sharing playlists and memories.",0
User_38,"['category_26', 'category_12', 'category_7', 'category_20', 'category_14', 'category_9', 'category_27', 'category_6', 'category_1', 'category_36']","Coffee enthusiast, let’s chat over a warm cup and see where it leads.",1
User_39,"['category_40', 'category_24', 'category_25', 'category_19', 'category_32', 'category_13', 'category_8', 'category_30', 'category_11', 'category_7']","Movie buff seeking someone to enjoy cozy nights and popcorn.",0
User_40,"['category_10', 'category_2', 'category_35', 'category_16', 'category_29', 'category_14', 'category_22', 'category_18', 'category_3', 'category_15']","Dreamer and doer, let’s build something incredible together.",1
User_41,"['category_5', 'category_12', 'category_30', 'category_7', 'category_31', 'category_4', 'category_9', 'category_19', 'category_27', 'category_40']","Inspired by life’s beauty, hoping to find someone who feels the same.",0
User_42,"['category_20', 'category_11', 'category_8', 'category_22', 'category_13', 'category_6', 'category_17', 'category_9', 'category_7', 'category_24']","Active and outgoing, let’s embrace new adventures together.",0
User_43,"['category_26', 'category_19', 'category_1', 'category_18', 'category_21', 'category_30', 'category_35', 'category_12', 'category_5', 'category_33']","Lover of vintage vibes and all things timeless.",1
User_44,"['category_25', 'category_3', 'category_10', 'category_27', 'category_9', 'category_7', 'category_40', 'category_16', 'category_11', 'category_2']","Joyful and caring, hoping to find someone to share smiles with.",0
User_45,"['category_14', 'category_20', 'category_32', 'category_9', 'category_6', 'category_18', 'category_30', 'category_25', 'category_12', 'category_19']","Playful spirit, let’s laugh our way through life.",1
User_46,"['category_22', 'category_11', 'category_15', 'category_1', 'category_7', 'category_40', 'category_9', 'category_16', 'category_6', 'category_27']","Love long talks under the stars, looking for my stargazing partner.",0
User_47,"['category_2', 'category_35', 'category_17', 'category_26', 'category_5', 'category_4', 'category_7', 'category_9', 'category_40', 'category_13']","Family-oriented and warm-hearted, let’s build a happy home.",0
User_48,"['category_12', 'category_21', 'category_3', 'category_14', 'category_1', 'category_27', 'category_19', 'category_16', 'category_10', 'category_7']","Creative and artistic, dreaming of a love that inspires.",1
User_49,"['category_31', 'category_22', 'category_18', 'category_9', 'category_4', 'category_13', 'category_30', 'category_8', 'category_7', 'category_20']","Ambitious and loyal, seeking someone to share successes and joys with.",0
User_50,"['category_40', 'category_5', 'category_35', 'category_16', 'category_14', 'category_12', 'category_6', 'category_10', 'category_22', 'category_18']","Curious explorer, let’s find out what life has to offer together.",1
